objID;RAdeg;DEdeg;XposW1;XposW2;YposW1;YposW2;FW1;FW2;e_XposW1;e_XposW2;e_YposW1;e_YposW2;e_FW1;e_FW2;q_W1;q_W2;rchi2W1;rchi2W2;fFW1;fFW2;FW1lbs;FW2lbs;e_FW1lbs;e_FW2lbs;fwhmW1;fwhmW2;SpModW1;SpModW2;e_SpModW1;e_SpModW2;skyW1;skyW2;RAW1deg;RAW2deg;DEW1deg;DEW2deg;coaddID;detIDW1;detIDW2;nmW1;nmW2;PrimW1;PrimW2;FlagsW1;FlagsW2;f_FlagsW1;f_FlagsW2;Prim
2247p469o0025056;224.3822233;47.4054976;1623.395;1623.460;1330.920;1330.912;2.28639e+02;1.27985e+03;0.042;0.032;0.039;0.030;5.55627e+00;2.33040e+01;1.00000;1.00000;1.4138e+00;7.5393e-01;0.9722;0.9935;2.21785e+02;1.28141e+03;5.67652e+00;2.38769e+01;2.6249;2.8479;-3.280699e-03;-2.109349e-03;9.464547e-04;0.000737;-3.37979e-01;1.52166e-01;224.3822233;224.3822324;47.4054976;47.4055475;2247p469;2247p469w1o0037900;2247p469w2o0024012;242;245;1;1;0;0;0;0;1
0600p257o0019225;60.3200321;25.9644745;1310.545;1310.516;647.208;647.171;1.05354e+03;1.83748e+03;0.015;0.034;0.015;0.033;9.70367e+00;3.40128e+01;1.00000;1.00000;1.1094e+00;6.1020e-01;0.8775;0.9115;1.04816e+03;1.83536e+03;9.89381e+00;3.48579e+01;2.6235;2.8454;1.062989e-03;1.702726e-03;3.652055e-04;0.000728;-3.77983e+00;-4.26142e+00;60.3200321;60.3200636;25.9644745;25.9644521;0600p257;0600p257w1o0029003;0600p257w2o0018060;116;114;1;1;0;0;0;0;1
2070p605o0016690;205.6038486;60.6256074;1095.679;1095.735;1922.214;1922.210;9.43856e+02;1.09439e+03;0.012;0.037;0.011;0.036;7.28021e+00;2.29383e+01;1.00000;1.00000;4.1177e-01;4.4320e-01;0.9637;0.9708;9.41967e+02;1.08783e+03;7.42182e+00;2.35181e+01;2.6384;2.8609;-8.976460e-05;-4.664660e-04;3.301414e-04;0.000833;-1.42289e+00;-1.25758e+00;205.6038486;205.6038535;60.6256074;60.6256503;2070p605;2070p605w1o0024923;2070p605w2o0016054;242;233;1;1;0;0;0;0;1
2444p242o0010148;244.5970607;23.9780178;692.335;692.337;792.139;792.119;4.72151e+02;5.25398e+02;0.025;0.089;0.024;0.084;7.13314e+00;2.52751e+01;1.00000;1.00000;1.2097e+00;6.1546e-01;0.9876;0.9920;4.68267e+02;5.16200e+02;7.28012e+00;2.59230e+01;2.6248;2.8402;-8.840561e-04;-3.443718e-03;5.975447e-04;0.001890;-1.20361e+00;-2.34165e+00;244.5970607;244.5970779;23.9780178;23.9780195;2444p242;2444p242w1o0015424;2444p242w2o0009706;158;150;1;1;0;0;0;0;1
2769p454o0029143;277.7441869;45.7161308;1397.562;1397.585;272.861;272.905;1.26319e+03;2.18224e+03;0.009;0.019;0.009;0.018;7.65381e+00;2.42234e+01;1.00000;1.00000;1.5260e+00;1.2619e+00;0.9913;0.9956;1.25959e+03;2.18455e+03;7.79429e+00;2.47810e+01;2.6159;2.8378;-5.315542e-04;-9.991527e-04;2.772433e-04;0.000469;-3.16085e+00;-5.05676e+00;277.7441869;277.7441394;45.7161308;45.7161487;2769p454;2769p454w1o0035342;2769p454w2o0026608;290;268;1;1;0;0;0;0;1
2334p681o0003423;232.3882257;67.5058432;184.342;184.369;1530.413;1530.421;1.54837e+03;1.96781e+03;0.007;0.018;0.007;0.019;7.85412e+00;2.24035e+01;1.00000;1.00000;2.4495e+00;6.2566e-01;0.9734;0.9779;1.54968e+03;1.96060e+03;7.99446e+00;2.29196e+01;2.6370;2.8607;-1.385808e-04;-4.649162e-05;2.439799e-04;0.000481;-1.04458e+00;-1.87349e-01;232.3882257;232.3882095;67.5058432;67.5058641;2334p681;2334p681w1o0004618;2334p681w2o0003282;400;395;1;1;0;0;0;0;1
2042m016o0021571;204.8902974;-0.9390609;1776.666;1776.599;123.075;123.196;7.34647e+01;4.56035e+02;0.179;0.122;0.169;0.114;7.30831e+00;2.92923e+01;1.00000;1.00000;3.2624e-01;7.2943e-01;0.9850;0.9962;7.23705e+01;4.54161e+02;7.47064e+00;3.00521e+01;2.6253;2.8459;2.516210e-03;-8.854866e-04;3.683548e-03;0.002454;-1.01404e+00;-3.43809e+00;204.8902974;204.8902046;-0.9390609;-0.9391115;2042m016;2042m016w1o0036938;2042m016w2o0021021;128;124;1;1;0;0;0;0;1
0000p015o0012592;359.3167975;1.5445234;1063.020;1062.879;1917.592;1918.181;6.13866e+01;2.25051e+02;0.209;0.250;0.215;0.249;7.42282e+00;3.01406e+01;1.00000;1.00000;8.7631e-01;5.7404e-01;0.7913;0.8746;6.24577e+01;2.26312e+02;7.58906e+00;3.09346e+01;2.6333;2.8586;-7.879138e-04;5.053222e-03;4.396789e-03;0.005097;-1.58273e+00;-3.44716e+00;359.3167975;359.3163470;1.5445234;1.5444150;0000p015;0000p015w1o0022453;0000p015w2o0025510;130;125;1;1;0;0;0;0;1
0589p000o0005111;58.7023922;-0.4618550;418.869;418.970;1402.391;1402.552;5.34707e+02;6.68093e+02;0.027;0.086;0.027;0.083;8.68444e+00;3.06938e+01;1.00000;1.00000;9.4809e-01;5.7440e-01;0.9778;0.9713;5.34449e+02;6.68648e+02;8.86912e+00;3.14947e+01;2.6504;2.8693;-1.101136e-03;-6.512403e-04;6.219299e-04;0.001736;2.73205e+00;3.49847e+00;58.7023922;58.7022691;-0.4618550;-0.4617779;0589p000;0589p000w1o0008431;0589p000w2o0004926;117;115;1;1;0;0;0;0;1
0015p166o0003471;1.5586452;16.0816661;267.838;267.860;1040.374;1040.367;9.36688e+02;1.10311e+03;0.015;0.049;0.015;0.049;8.69299e+00;2.99815e+01;1.00000;1.00000;9.5957e-01;7.9227e-01;0.9729;0.9673;9.47653e+02;1.12348e+03;8.86801e+00;3.07505e+01;2.6288;2.8545;-9.099841e-04;-2.530456e-03;3.760031e-04;0.001046;-2.74067e+00;-4.98156e+00;1.5586452;1.5586502;16.0816661;16.0816830;0015p166;0015p166w1o0005800;0015p166w2o0003384;138;139;1;1;0;0;0;0;1
